,time,Vmag,Verr
810,2015.084478630137,0.582,0.008
811,2015.0844824657534,0.596,0.005
812,2015.084484383562,0.58,0.018000000000000002
813,2015.0844997260274,0.576,0.008
814,2015.0845967123284,0.556,0.017
815,2015.0846156164378,0.589,0.024
816,2015.097985205479,0.543,0.019
817,2015.0981641095884,0.565,0.01
818,2015.0981679452061,0.572,0.019
819,2015.1006106849313,0.583,0.013999999999999999
820,2015.10061260274,0.607,0.045
821,2015.100624109589,0.551,0.025
822,2015.1006715068493,0.561,0.011000000000000001
823,2015.1006753424654,0.586,0.053
824,2015.10076109589,0.58,0.012
825,2015.1008334246578,0.583,0.028999999999999998
826,2015.1008372602741,0.52,0.037000000000000005
827,2015.1036358904107,0.571,0.012
828,2015.103660547945,0.573,0.027000000000000003
829,2015.1060824657536,0.569,0.049
830,2015.1060863013697,0.575,0.019
831,2015.106124383562,0.565,0.016
832,2015.1061263013694,0.587,0.038
833,2015.1200076712335,0.521,0.037000000000000005
834,2015.1200380821917,0.544,0.027999999999999997
835,2015.1200419178078,0.546,0.013000000000000001
836,2015.1229413698632,0.519,0.01
837,2015.1229452054795,0.52,0.012
838,2015.1253613698627,0.52,0.018000000000000002
839,2015.1280460273974,0.56,0.006
840,2015.1280498630138,0.569,0.01
841,2015.1280726027394,0.568,0.021
842,2015.1280745205481,0.565,0.015
843,2015.1390506849318,0.559,0.025
844,2015.1390849315064,0.531,0.051
845,2015.1390868493152,0.539,0.008
846,2015.1666153424662,0.543,0.013000000000000001
847,2015.1666665753426,0.557,0.011000000000000001
848,2015.169164657534,0.545,0.015
849,2015.1691838356169,0.519,0.02
850,2015.1775038356166,0.5,0.034
851,2015.1775323287673,0.534,0.004
852,2015.180435616439,0.46,0.02
853,2015.1804432876713,0.46,0.026000000000000002
854,2015.1829509589043,0.498,0.02
855,2015.1857972602743,0.405,0.026000000000000002
856,2015.185803013698,0.463,0.018000000000000002
857,2015.2057095890418,0.45,0.01
858,2015.2075589041099,0.461,0.018000000000000002
859,2015.207652328767,0.495,0.019
860,2015.2076635616436,0.474,0.013999999999999999
861,2015.2130556164386,0.444,0.008
862,2015.2130783561643,0.429,0.025
863,2015.2159342465757,0.356,0.027000000000000003
864,2015.215938082192,0.402,0.02
865,2015.2240791780823,0.38,0.039
866,2015.224101917808,0.364,0.035
