time,Mag
1981.968767123288,8.4
1981.9698630136986,8.5
1981.9715068493153,8.4
1981.9794520547946,8.4
1981.9871232876708,8.3
1981.9876712328767,8.4
1981.9890410958903,8.3
1981.990410958904,8.4
1981.993890410959,8.4
1982.0013698630137,8.4
1982.005205479452,8.0
1982.0067397260273,8.5
1982.0068493150684,8.7
1982.0087671232882,8.3
1982.0115068493155,8.3
1982.017808219178,8.3
1982.0216438356163,8.8
1982.0254794520542,8.4
1982.035616438356,8.2
1982.0369863013698,8.3
1982.040821917808,8.0
1982.0515890410961,8.6
1982.0534246575342,8.3
1982.056109589041,8.3
1982.058356164383,8.3
1982.0635616438362,8.2
1982.069808219178,8.3
1982.0780821917808,8.3
1982.0849315068492,8.4
1982.0863013698631,8.3
1982.0870684931501,8.5
1982.1054794520549,8.3
1982.1153424657537,8.1
1982.1156164383567,8.4
1982.1190958904115,8.3
1982.1282191780817,7.9
1982.1293150684937,8.3
1982.1347945205484,8.4
1982.1395068493148,8.6
1982.1427397260277,8.0
1982.1438356164383,8.3
1982.1439726027393,8.3
1982.145753424658,8.2
1982.1484931506855,8.2
1982.1536986301373,8.3
1982.1567123287675,8.2
1982.1615890410958,8.6
1982.1616438356164,8.4
1982.1654794520546,8.3
1982.1810958904111,8.3
1982.1876712328767,8.2
1982.190301369863,8.3
1982.1920547945208,8.0
1982.1947945205482,8.1
1982.199452054794,8.3
1982.203835616438,8.2
1982.2105205479447,8.2
1982.2112328767125,8.1
1982.2112328767125,8.2
1982.2121643835615,8.2
1982.2221917808222,8.2
1982.2241095890406,8.0
1982.2260273972602,8.1
1982.2367123287668,8.1
1982.237095890411,8.0
1982.237753424657,8.4
1982.2386301369866,7.9
1982.2386301369866,8.2
1982.2441095890413,8.3
1982.2479452054795,8.1
1982.2715068493153,8.1
1982.272328767123,8.1
1982.2760273972603,8.2
1982.2942465753422,8.1
1982.2980273972596,8.4
1982.3025753424656,8.2
1982.304109589041,8.1
1982.305479452055,8.1
1982.3245205479457,8.2
1982.3254246575336,8.6
1982.3260273972603,7.9
1982.327123287671,7.7
1982.3424657534247,7.8
1982.3554246575343,8.4
1982.3736164383565,8.1
1982.382821917808,8.0
1982.3846849315073,7.9
1982.3890410958904,7.9
1982.4075068493157,7.5
1982.47205479452,7.4
1982.5065753424656,7.6
1982.6961643835618,7.8
1982.7043835616441,7.9
1982.7371232876708,7.7
1982.7893150684934,7.9
1982.808493150685,7.9
1982.8109589041096,8.4
1982.8115068493155,8.1
1982.8306849315074,7.8
1982.8544657534244,8.3
1982.855342465754,7.8
1982.8578082191784,8.2
1982.8668493150683,8.3
1982.8717808219183,8.1
1982.876712328767,8.0
1982.8821095890416,8.0
1982.883780821918,8.3
1982.89095890411,8.1
1982.8958904109588,8.0
1982.8989041095892,8.1
1982.899452054794,8.2
1982.9339726027395,8.0
1982.9345205479456,8.1
1982.9367123287668,8.1
1982.9468493150687,8.4
1982.9493150684932,8.6
1982.9559178082195,8.4
1982.9652054794515,8.3
1982.9660273972606,8.3
1982.9673972602743,8.1
1982.9704109589047,8.3
1982.97394520548,8.6
1982.9803013698631,8.1
1982.9934246575344,8.4
1983.000273972603,8.1
1983.0049315068488,8.5
1983.0067945205478,8.3
1983.0068493150684,8.3
1983.0079452054792,8.2
1983.0221917808221,8.3
1983.0231780821916,8.3
1983.0276712328769,8.6
1983.0306849315073,8.3
1983.0334246575349,8.3
1983.0342465753424,8.3
1983.0361643835622,8.2
1983.0397260273974,8.3
1983.042438356165,8.6
1983.0432876712323,8.2
1983.0443835616443,8.4
1983.04904109589,8.6
1983.0528767123283,8.7
1983.054794520548,8.1
1983.0616438356165,8.4
1983.0643835616438,8.7
1983.0657534246575,8.5
1983.0745205479457,8.1
1983.075397260274,8.6
1983.0800000000006,8.4
1983.082465753425,8.1
1983.0835616438355,8.4
1983.089863013698,8.2
1983.0926575342462,8.4
1983.0972602739726,8.4
1983.0998904109588,8.6
1983.113698630137,8.5
